id_jedi,ime,cena,id_menija,id_tipa_kuhinje
1,Margherita,9.5,1,1
2,Capricciosa,11.0,1,1
3,Carbonara,10.0,1,1
4,Lasagna,12.0,1,1
5,Tiramisu,6.0,1,1
6,Funghi Pizza,10.0,2,1
7,Pesto Pasta,11.5,2,1
8,Bolognese,10.5,2,1
9,Ravioli,12.0,2,1
10,Panna Cotta,5.5,2,1
11,Sushi Mix,14.0,3,2
12,Pad Thai,12.0,3,2
13,Ramen,11.0,3,2
14,Spring Rolls,6.0,3,2
15,Teriyaki Chicken,13.0,3,2
16,Cheeseburger,10.0,4,3
17,BBQ Ribs,15.0,4,3
18,Hot Dog,7.0,4,3
19,Chicken Wings,9.0,4,3
20,Brownie,5.0,4,3
21,Grilled Fish,14.0,5,4
22,Greek Salad,8.0,5,4
23,Seafood Pasta,13.0,5,4
24,Bruschetta,6.0,5,4
25,Lemon Cake,5.5,5,4
26,Steak,18.0,6,3
27,Loaded Fries,7.0,6,3
28,Club Sandwich,9.0,6,3
29,Onion Rings,5.0,6,3
30,Milkshake,4.5,6,3
31,Risotto,12.0,7,1
32,Tacos,11.0,7,3
33,Sushi Roll,13.0,7,2
34,Falafel,9.0,7,5
35,Salmon Bowl,14.0,7,4
36,Vegan Burger,10.0,8,5
37,Tofu Stir Fry,11.0,8,5
38,Quinoa Salad,9.0,8,5
39,Vegan Pizza,12.0,8,5
40,Chia Pudding,5.0,8,5
41,Tempura,8.0,9,2
42,Pho Soup,10.0,9,2
43,Fried Rice,9.0,9,2
44,Dumplings,7.0,9,2
45,Mango Sticky Rice,6.0,9,2
46,Pizza Diavola,11.0,10,1
47,Burger Deluxe,13.0,10,3
48,Poke Bowl,12.0,10,2
49,Grilled Vegetables,8.0,10,4
50,Vegan Brownie,5.0,10,5
51,Gnocchi al Pesto,12.5,11,1
52,Prosciutto e Rucola Pizza,13.0,11,1
53,Caprese Burrata,9.5,11,1
54,Seafood Risotto,15.5,11,4
55,Torta della Nonna,6.5,11,1
56,Miso Ramen Deluxe,12.0,12,2
57,Chicken Yakisoba,11.5,12,2
58,Spicy Salmon Poke,13.5,12,2
59,Gyoza Chicken,8.0,12,2
60,Mango Mochi,6.0,12,2
61,Smash Burger Classic,12.0,13,3
62,Pulled Pork Fries,10.5,13,3
63,BBQ Chicken Wrap,10.0,13,3
64,Caesar Chicken Salad,9.5,13,3
65,New York Cheesecake,6.5,13,3
66,Greek Souvlaki Plate,13.0,14,4
67,Mediterranean Mezze Mix,11.0,14,4
68,Shakshuka,10.5,14,4
69,Tuna Olive Salad,9.0,14,4
70,Honey Semolina Cake,6.0,14,4
71,Vegan Buddha Bowl,11.5,15,5
72,Tofu Teriyaki Noodles,11.0,15,5
73,Chickpea Curry,10.5,15,5
74,Roasted Veggie Hummus Plate,9.5,15,5
75,Vegan Banana Bread,5.5,15,5
76,Spaghetti Amatriciana,11.5,16,1
77,Quattro Formaggi Pizza,12.5,16,1
78,Mushroom Tagliatelle,12.0,16,1
79,Arancini,7.0,16,1
80,Affogato,5.5,16,1
81,Grilled Calamari,13.5,17,4
82,Lemon Herb Sea Bass,16.5,17,4
83,Tabbouleh Salad,8.5,17,4
84,Stuffed Peppers,10.0,17,4
85,Orange Almond Slice,6.0,17,4
86,Korean Bibimbap,12.5,18,2
87,Thai Green Curry,12.0,18,2
88,Beef Udon Soup,12.5,18,2
89,Shrimp Tempura Roll,13.5,18,2
90,Coconut Rice Pudding,6.0,18,2
91,BBQ Brisket Sandwich,14.5,19,3
92,Buffalo Chicken Tenders,11.0,19,3
93,Loaded Mac & Cheese,10.5,19,3
94,Crispy Onion Burger,13.0,19,3
95,Pecan Brownie,6.0,19,3
96,Vegan Lasagna Verde,12.5,20,5
97,Falafel Bowl Tahini,10.5,20,5
98,Quinoa Stuffed Zucchini,11.0,20,5
99,Avocado Lime Wrap,9.5,20,5
100,Cocoa Date Truffles,5.0,20,5
