id_menija,naziv,id_restavracije
1,Meni Zlata Vilica,1
2,Meni Modri Krožnik,2
3,Meni Bistro Orion,3
4,Meni Kuhinja 360,4
5,Meni Srebrna Žlica,5
6,Meni Urban Grill,6
7,Meni Okus Ljubljane,7
8,Meni Zeleni Vrt,8
9,Meni Pikantna Točka,9
10,Meni Nebeski Okusi,10
11,Meni Zlati Krožnik,11
12,Meni Domača Ponvica,12
13,Meni Okus Mesta,13
14,Meni Stari Lonec,14
15,Meni Vijolična Kuhna,15
16,Meni Mestni Bistro,16
17,Meni Zeleni List,17
18,Meni Kraljeva Žlica,18
19,Meni Topla Skleda,19
20,Meni Okusni Kotiček,20
