id_restavracije,ime,naslov,predel
1,Zlata Vilica,"Dunajska cesta 12, Ljubljana",Bežigrad
2,Modri Krožnik,"Trubarjeva 45, Ljubljana",Center
3,Bistro Orion,"Celovška 88, Ljubljana",Šiška
4,Kuhinja 360,"Miklošičeva 22, Ljubljana",Center
5,Srebrna Žlica,"Šmartinska 101, Ljubljana",Jarše
6,Urban Grill,"Gosposvetska 9, Ljubljana",Center
7,Okus Ljubljane,"Wolfova 3, Ljubljana",Center
8,Zeleni Vrt,"Barjanska 55, Ljubljana",Vič
9,Pikantna Točka,"Litostrojska 14, Ljubljana",Šiška
10,Nebeski Okusi,"Cankarjeva 7, Ljubljana",Šiška
11,Zlati Krožnik,"Tivolska 18, Ljubljana",Bežigrad
12,Domača Ponvica,"Poljanska 27, Ljubljana",Moste
13,Okus Mesta,"Slovenska 56, Ljubljana",Bežigrad
14,Stari Lonec,"Grablovičeva 11, Ljubljana",Jarše
15,Vijolična Kuhna,"Dolenjska cesta 4, Ljubljana",Rudnik
16,Mestni Bistro,"Gosposka 21, Ljubljana",Vič
17,Zeleni List,"Ižanska cesta 92, Ljubljana",Rudnik
18,Kraljeva Žlica,"Kotnikova 33, Ljubljana",Moste
19,Topla Skleda,"Zaloška 68, Ljubljana",Moste
20,Okusni Kotiček,"Viška cesta 14, Ljubljana",Vič
